CIP2020Code,CIP2020Title,SOC2018Code,SOC2018Title
01.0207,Irrigation Management Technology/Technician.,25-1194,"Career/Technical Education Teachers, Postsecondary"
01.0207,Irrigation Management Technology/Technician.,49-3041,Farm Equipment Mechanics and Service Technicians
01.0310,Apiculture.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0310,Apiculture.,19-1011,Animal Scientists
01.0310,Apiculture.,25-9021,Farm and Home Management Educators
01.0310,Apiculture.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0310,Apiculture.,45-2021,Animal Breeders
01.0310,Apiculture.,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
01.0509,Farrier Science.,25-1194,"Career/Technical Education Teachers, Postsecondary"
01.0509,Farrier Science.,39-2021,Animal Caretakers
01.0609,Public Horticulture.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0609,Public Horticulture.,25-9021,Farm and Home Management Educators
01.0610,Urban and Community Horticulture.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0610,Urban and Community Horticulture.,25-9021,Farm and Home Management Educators
01.1003,Brewing Science.,19-1012,Food Scientists and Technologists
01.1003,Brewing Science.,19-4013,Food Science Technicians
01.1003,Brewing Science.,51-3092,Food Batchmakers
01.1003,Brewing Science.,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
01.1005,Zymology/Fermentation Science.,19-1012,Food Scientists and Technologists
01.1005,Zymology/Fermentation Science.,19-4013,Food Science Technicians
01.1005,Zymology/Fermentation Science.,51-3092,Food Batchmakers
01.1005,Zymology/Fermentation Science.,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
01.1399,"Agriculture/Veterinary Preparatory Programs, Other.",19-4012,Agricultural Technicians
01.8201,"Veterinary Administrative Services, General.",11-9111,Medical and Health Services Managers
01.8201,"Veterinary Administrative Services, General.",43-1011,First-Line Supervisors of Office and Administrative Support Workers
01.8201,"Veterinary Administrative Services, General.",43-6013,Medical Secretaries and Administrative Assistants
01.8202,Veterinary Office Management/Administration.,11-1021,General and Operations Managers
01.8202,Veterinary Office Management/Administration.,11-3012,Administrative Services Managers
01.8202,Veterinary Office Management/Administration.,11-9111,Medical and Health Services Managers
01.8202,Veterinary Office Management/Administration.,43-1011,First-Line Supervisors of Office and Administrative Support Workers
01.8203,Veterinary Reception/Receptionist.,43-1011,First-Line Supervisors of Office and Administrative Support Workers
01.8203,Veterinary Reception/Receptionist.,43-4171,Receptionists and Information Clerks
01.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,43-1011,First-Line Supervisors of Office and Administrative Support Workers
01.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,43-6013,Medical Secretaries and Administrative Assistants
01.8299,"Veterinary Administrative Services, Other.",99-9999,NO MATCH
01.8399,"Veterinary/Animal Health Technologies/Technicians, Other.",29-2056,Veterinary Technologists and Technicians
