SOC2018Code,SOC2018Title,CIP2020Code,CIP2020Title
11-2032,Public Relations Managers,09.0100,"Communication, General."
11-2032,Public Relations Managers,09.0101,Speech Communication and Rhetoric.
11-2032,Public Relations Managers,09.0102,Mass Communication/Media Studies.
11-2032,Public Relations Managers,09.0900,"Public Relations, Advertising, and Applied Communication."
11-2032,Public Relations Managers,09.0902,Public Relations/Image Management.
11-2032,Public Relations Managers,09.0904,Political Communication.
11-2032,Public Relations Managers,09.0907,International and Intercultural Communication.
11-2032,Public Relations Managers,52.0501,"Business/Corporate Communications, General."
11-2033,Fundraising Managers,09.0100,"Communication, General."
11-2033,Fundraising Managers,09.0900,"Public Relations, Advertising, and Applied Communication."
11-2033,Fundraising Managers,09.0902,Public Relations/Image Management.
11-2033,Fundraising Managers,52.0206,Non-Profit/Public/Organizational Management.
11-2033,Fundraising Managers,52.0213,Organizational Leadership.
11-2033,Fundraising Managers,52.1401,"Marketing/Marketing Management, General."
11-3012,Administrative Services Managers,51.0711,Medical/Health Management and Clinical Assistant/Specialist.
11-3012,Administrative Services Managers,52.0101,"Business/Commerce, General."
11-3012,Administrative Services Managers,52.0201,"Business Administration and Management, General."
11-3012,Administrative Services Managers,52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management."
11-3012,Administrative Services Managers,52.0204,Office Management and Supervision.
11-3012,Administrative Services Managers,52.0207,Customer Service Management.
11-3013,Facilities Managers,15.1501,Engineering/Industrial Management.
11-3013,Facilities Managers,19.0604,Facilities Planning and Management.
11-3013,Facilities Managers,30.1201,"Historic Preservation and Conservation, General."
11-3013,Facilities Managers,30.1299,"Historic Preservation and Conservation, Other."
11-3013,Facilities Managers,31.0301,"Parks, Recreation, and Leisure Facilities Management, General."
11-3013,Facilities Managers,46.0401,Building/Property Maintenance.
11-3013,Facilities Managers,46.0412,Building/Construction Site Management/Manager.
11-3013,Facilities Managers,51.0702,Hospital and Health Care Facilities Administration/Management.
11-3013,Facilities Managers,52.0101,"Business/Commerce, General."
11-3013,Facilities Managers,52.0201,"Business Administration and Management, General."
11-3013,Facilities Managers,52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management."
11-3013,Facilities Managers,52.0205,Operations Management and Supervision.
11-3013,Facilities Managers,52.0904,Hotel/Motel Administration/Management.
11-9072,"Entertainment and Recreation Managers, Except Gambling",03.0207,Environmental/Natural Resource Recreation and Tourism.
11-9072,"Entertainment and Recreation Managers, Except Gambling",31.0301,"Parks, Recreation, and Leisure Facilities Management, General."
11-9072,"Entertainment and Recreation Managers, Except Gambling",31.0302,Golf Course Operation and Grounds Management.
11-9072,"Entertainment and Recreation Managers, Except Gambling",31.0399,"Parks, Recreation, and Leisure Facilities Management, Other."
11-9072,"Entertainment and Recreation Managers, Except Gambling",31.0504,Sport and Fitness Administration/Management.
11-9072,"Entertainment and Recreation Managers, Except Gambling",52.0101,"Business/Commerce, General."
11-9072,"Entertainment and Recreation Managers, Except Gambling",52.0201,"Business Administration and Management, General."
11-9072,"Entertainment and Recreation Managers, Except Gambling",52.0901,"Hospitality Administration/Management, General."
11-9072,"Entertainment and Recreation Managers, Except Gambling",52.0906,Resort Management.
11-9179,"Personal Service Managers, All Other",12.0412,Salon/Beauty Salon Management/Manager.
11-9179,"Personal Service Managers, All Other",52.0101,"Business/Commerce, General."
11-9179,"Personal Service Managers, All Other",52.0201,"Business Administration and Management, General."
11-9179,"Personal Service Managers, All Other",52.0212,Retail Management.
11-9179,"Personal Service Managers, All Other",52.0703,Small Business Administration/Management.
11-9179,"Personal Service Managers, All Other",52.0901,"Hospitality Administration/Management, General."
11-9179,"Personal Service Managers, All Other",52.0903,Tourism and Travel Services Management.
13-1082,Project Management Specialists,11.1005,Information Technology Project Management.
13-1082,Project Management Specialists,52.0101,"Business/Commerce, General."
13-1082,Project Management Specialists,52.0201,"Business Administration and Management, General."
13-1082,Project Management Specialists,52.0211,Project Management.
13-2022,Appraisers of Personal and Business Property,50.0703,"Art History, Criticism and Conservation."
13-2022,Appraisers of Personal and Business Property,52.0101,"Business/Commerce, General."
13-2022,Appraisers of Personal and Business Property,52.0301,Accounting.
13-2022,Appraisers of Personal and Business Property,52.0304,Accounting and Finance.
13-2022,Appraisers of Personal and Business Property,52.0305,Accounting and Business/Management.
13-2022,Appraisers of Personal and Business Property,52.0801,"Finance, General."
13-2022,Appraisers of Personal and Business Property,52.1501,Real Estate.
13-2022,Appraisers of Personal and Business Property,52.1601,Taxation.
13-2022,Appraisers of Personal and Business Property,52.1701,Insurance.
13-2023,Appraisers and Assessors of Real Estate,04.1001,Real Estate Development.
13-2023,Appraisers and Assessors of Real Estate,52.1501,Real Estate.
13-2054,Financial Risk Specialists,27.0305,Financial Mathematics.
13-2054,Financial Risk Specialists,52.0301,Accounting.
13-2054,Financial Risk Specialists,52.0304,Accounting and Finance.
13-2054,Financial Risk Specialists,52.0305,Accounting and Business/Management.
13-2054,Financial Risk Specialists,52.0601,Business/Managerial Economics.
