CIP2020Code,CIP2020Title,SOC2018Code,SOC2018Title
01.0508,Taxidermy/Taxidermist.,99-9999,NO MATCH
01.0599,"Agricultural and Domestic Animal Services, Other.",99-9999,NO MATCH
01.0699,"Applied Horticulture/Horticultural Business Services, Other.",99-9999,NO MATCH
01.0899,"Agricultural Public Services, Other.",99-9999,NO MATCH
01.1302,Pre-Veterinary Studies.,99-9999,NO MATCH
01.8299,"Veterinary Administrative Services, Other.",99-9999,NO MATCH
01.9999,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",99-9999,NO MATCH
03.0199,"Natural Resources Conservation and Research, Other.",99-9999,NO MATCH
03.0210,Bioenergy.,99-9999,NO MATCH
04.0200,Pre-Architecture Studies.,99-9999,NO MATCH
04.9999,"Architecture and Related Services, Other.",99-9999,NO MATCH
09.0199,"Communication and Media Studies, Other.",99-9999,NO MATCH
09.0799,"Radio, Television, and Digital Communication, Other.",99-9999,NO MATCH
09.0999,"Public Relations, Advertising, and Applied Communication, Other.",99-9999,NO MATCH
10.9999,"Communications Technologies/Technicians and Support Services, Other.",99-9999,NO MATCH
11.0699,"Data Entry/Microcomputer Applications, Other.",99-9999,NO MATCH
11.0899,"Computer Software and Media Applications, Other.",99-9999,NO MATCH
11.0999,"Computer Systems Networking and Telecommunications, Other.",99-9999,NO MATCH
11.1099,"Computer/Information Technology Services Administration and Management, Other.",99-9999,NO MATCH
11.9999,"Computer and Information Sciences and Support Services, Other.",99-9999,NO MATCH
12.0599,"Culinary Arts and Related Services, Other.",99-9999,NO MATCH
12.0699,"Casino Operations and Services, Other.",99-9999,NO MATCH
13.0701,International and Comparative Education.,99-9999,NO MATCH
13.1004,Education/Teaching of the Gifted and Talented.,99-9999,NO MATCH
13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Other.",99-9999,NO MATCH
14.0102,Pre-Engineering.,99-9999,NO MATCH
15.0799,"Quality Control and Safety Technologies/Technicians, Other.",99-9999,NO MATCH
15.1199,"Engineering-Related Technologies/Technicians, Other.",99-9999,NO MATCH
15.1599,"Engineering-Related Fields, Other.",99-9999,NO MATCH
15.9999,"Engineering/Engineering-Related Technologies/Technicians, Other.",99-9999,NO MATCH
16.1701,English as a Second Language.,99-9999,NO MATCH
19.0799,"Human Development, Family Studies, and Related Services, Other.",99-9999,NO MATCH
19.0999,"Apparel and Textiles, Other.",99-9999,NO MATCH
19.9999,"Family and Consumer Sciences/Human Sciences, Other.",99-9999,NO MATCH
22.0001,Pre-Law Studies.,99-9999,NO MATCH
22.0099,"Non-Professional Legal Studies, Other.",99-9999,NO MATCH
22.0399,"Legal Support Services, Other.",99-9999,NO MATCH
22.9999,"Legal Professions and Studies, Other.",99-9999,NO MATCH
24.0199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",99-9999,NO MATCH
25.9999,"Library Science, Other.",99-9999,NO MATCH
28.0101,Air Force JROTC/ROTC.,99-9999,NO MATCH
28.0199,"Air Force ROTC, Air Science and Operations, Other.",99-9999,NO MATCH
28.0301,Army JROTC/ROTC.,99-9999,NO MATCH
28.0399,"Army ROTC, Military Science and Operations, Other.",99-9999,NO MATCH
28.0401,Navy/Marine Corps JROTC/ROTC.,99-9999,NO MATCH
28.0499,"Navy/Marine Corps ROTC, Naval Science and Operations, Other.",99-9999,NO MATCH
28.0501,Air Science/Airpower Studies.,99-9999,NO MATCH
28.0502,Air and Space Operational Art and Science.,99-9999,NO MATCH
28.0603,Military and International Operational Law.,99-9999,NO MATCH
28.0699,"National Security Policy and Strategy, Other.",99-9999,NO MATCH
28.0701,National Resource Strategy and Policy.,99-9999,NO MATCH
28.0702,Industry Studies.,99-9999,NO MATCH
28.0703,Military Installation Management.,99-9999,NO MATCH
28.0799,"Military Economics and Management, Other.",99-9999,NO MATCH
