UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,DEBT_ALL_STGP_EVAL_N,DEBT_ALL_STGP_EVAL_MDN,EARN_MDN_HI_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR
100663,1052,University of Alabama at Birmingham,Public,1,1609,"Romance Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,4,1,PS,PS,PS,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,4100,"Science Technologies/Technicians, General.",1,Undergraduate Certificate or Diploma,1,0,PS,PS,PS,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,5106,Dental Support Services and Allied Professions.,1,Undergraduate Certificate or Diploma,16,10,PS,PS,PS,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,5115,Mental and Social Health Services and Allied Professions.,1,Undergraduate Certificate or Diploma,16,23,NA,NA,NA,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,5202,"Business Administration, Management and Operations.",1,Undergraduate Certificate or Diploma,2,2,PS,PS,PS,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,5203,Accounting and Related Services.,1,Undergraduate Certificate or Diploma,24,15,PS,PS,PS,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,5212,Management Information Systems and Services.,1,Undergraduate Certificate or Diploma,9,12,PS,PS,NA,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,5214,Marketing.,1,Undergraduate Certificate or Diploma,0,0,PS,PS,PS,PS,PS,PS,PS
100663,1052,University of Alabama at Birmingham,Public,1,5218,"General Sales, Merchandising and Related Marketing Operations.",1,Undergraduate Certificate or Diploma,24,28,PS,PS,PS,PS,PS,PS,PS
100706,1055,University of Alabama in Huntsville,Public,1,1601,"Linguistic, Comparative, and Related Language Studies and Services.",1,Undergraduate Certificate or Diploma,6,2,PS,PS,PS,PS,PS,PS,PS
100706,1055,University of Alabama in Huntsville,Public,1,4501,"Social Sciences, General.",1,Undergraduate Certificate or Diploma,3,2,NA,NA,NA,NA,NA,NA,NA
100706,1055,University of Alabama in Huntsville,Public,1,4510,Political Science and Government.,1,Undergraduate Certificate or Diploma,12,5,PS,PS,PS,PS,PS,PS,PS
100751,1051,The University of Alabama,Public,1,3099,"Multi/Interdisciplinary Studies, Other.",1,Undergraduate Certificate or Diploma,6,5,NA,NA,NA,NA,NA,NA,NA
100760,1007,Central Alabama Community College,Public,1,1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,20,8,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,25,17,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,1506,Industrial Production Technologies/Technicians.,1,Undergraduate Certificate or Diploma,9,6,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,1513,Drafting/Design Engineering Technologies/Technicians.,1,Undergraduate Certificate or Diploma,0,0,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,1907,"Human Development, Family Studies, and Related Services.",1,Undergraduate Certificate or Diploma,3,5,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,Undergraduate Certificate or Diploma,83,34,PS,PS,NA,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,3099,"Multi/Interdisciplinary Studies, Other.",1,Undergraduate Certificate or Diploma,NA,NA,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,4701,Electrical/Electronics Maintenance and Repair Technologies/Technicians.,1,Undergraduate Certificate or Diploma,26,10,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,4805,Precision Metal Working.,1,Undergraduate Certificate or Diploma,120,53,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,5108,Allied Health and Medical Assisting Services.,1,Undergraduate Certificate or Diploma,5,6,PS,PS,NA,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Undergraduate Certificate or Diploma,40,59,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,5202,"Business Administration, Management and Operations.",1,Undergraduate Certificate or Diploma,6,14,PS,PS,PS,PS,PS,PS,PS
100760,1007,Central Alabama Community College,Public,1,5204,Business Operations Support and Assistant Services.,1,Undergraduate Certificate or Diploma,2,3,PS,PS,PS,PS,PS,PS,PS
